publisher,genres,app_name,specs,price,early_access,developer,sentiment,metascore,release_year,Indie
Stardock Entertainment,"['Indie', 'Strategy']",Galactic Civilizations III,"['Single-player', 'Multi-player', 'Online Multi-Player', 'Online Co-op', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Stats']",29.99,False,Stardock Entertainment,positive,81.0,2015,1
Minor Key Games,"['Action', 'Indie']",NEON STRUCT,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']",17.99,False,Minor Key Games,mixed,62.0,2015,1
NeocoreGames,"['Action', 'Adventure', 'Indie', 'RPG']",The Incredible Adventures of Van Helsing III,"['Single-player', 'Multi-player', 'Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Stats', 'Steam Leaderboards']",14.99,False,NeocoreGames,mixed,64.0,2015,1
Frogmind,"['Action', 'Adventure', 'Indie']",BADLAND: Game of the Year Edition,"['Single-player', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Stats', 'Steam Leaderboards']",9.99,False,Frogmind,mostly Positive,79.0,2015,1
Degica,"['Action', 'Indie']",Crimzon Clover WORLD IGNITION - Superplay Strategy Guide,"['Single-player', 'Shared/Split Screen', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud', 'Steam Leaderboards']",7.99,False,"YOTSUBANE,Adventure Planning Service",positive,85.0,2015,1
Degica,"['Action', 'Indie']",Crimzon Clover WORLD IGNITION - Arcade Poster Pack,"['Single-player', 'Shared/Split Screen', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud', 'Steam Leaderboards']",0.99,False,"YOTSUBANE,Adventure Planning Service",positive,85.0,2015,1
Degica,"['Action', 'Indie']",Crimzon Clover WORLD IGNITION - Arranged Sound Track,"['Single-player', 'Shared/Split Screen', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud', 'Steam Leaderboards']",5.99,False,"YOTSUBANE,Adventure Planning Service",positive,85.0,2015,1
Mastertronic,"['Indie', 'Simulation']",0RBITALIS,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Steam Leaderboards', 'Includes level editor']",9.99,False,Alan Zucconi,mostly Positive,73.0,2015,1
Lucky Pause,"['Adventure', 'Indie']",Homesick,"['Single-player', 'Steam Trading Cards', 'Partial Controller Support']",14.99,False,Lucky Pause,mostly Positive,72.0,2015,1
,"['Adventure', 'Indie']",The Detail Episode 2 - From The Ashes,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Captions available', 'Steam Cloud', 'Stats']",3.99,False,Rival Games Ltd,mixed,66.0,2015,1
Double Fine Productions,"['Indie', 'Strategy']",MASSIVE CHALICE,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Captions available', 'Steam Cloud']",19.99,False,Double Fine Productions,mostly Positive,73.0,2015,1
Destructive Creations,"['Action', 'Indie']",Hatred,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud', 'Steam Leaderboards']",8.99,False,Destructive Creations,mixed,43.0,2015,1
EightyEightGames,"['Action', 'Casual', 'Indie', 'RPG', 'Strategy']",You Must Build A Boat,"['Single-player', 'Steam Achievements', 'Steam Cloud']",4.99,False,EightyEightGames,mostly Positive,71.0,2015,1
Adult Swim Games,"['Action', 'Indie']",Duck Game,"['Single-player', 'Multi-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Workshop', 'Includes level editor']",12.99,False,Landon Podbielski,positive,82.0,2015,1
Shark Punch,"['Action', 'Indie', 'Strategy']",The Masterplan,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud']",19.99,False,Shark Punch,mixed,68.0,2015,1
"Warner Bros. Interactive Entertainment, Feral Interactive (Mac)","['Action', 'Adventure']",LEGO® Jurassic World,"['Single-player', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Cloud']",19.99,False,"TT Games Ltd,Feral Interactive (Mac)",mostly Positive,72.0,2015,0
"Psyonix, Inc.","['Action', 'Indie', 'Racing', 'Sports']",Rocket League®,"['Single-player', 'Multi-player', 'Co-op', 'Shared/Split Screen', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Stats']",19.99,False,"Psyonix, Inc.",positive,86.0,2015,1
"Codemasters, Feral Interactive (Linux)","['Racing', 'Sports']",F1 2015,"['Single-player', 'Multi-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards']",39.99,False,"Codemasters,Feral Interactive (Linux)",mixed,61.0,2015,0
Chilled Mouse,['Casual'],Chime Sharp,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards']",9.99,False,"Ste Curran,Twistplay",positive,85.0,2016,0
"Daedalic Entertainment, Daylight Studios","['Indie', 'Simulation']",Holy Potatoes! A Weapon Shop?!,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']",14.99,False,Daylight Studios,mixed,69.0,2015,1
Blue Manchu,"['Free to Play', 'RPG', 'Strategy']",Card Hunter,"['Single-player', 'Multi-player', 'Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Captions available', 'Includes level editor']",Free,False,Blue Manchu,mostly Positive,80.0,2015,0
Scott Cawthon,"['Action', 'Indie', 'Strategy']",Five Nights at Freddy's 4,['Single-player'],7.99,False,Scott Cawthon,mixed,51.0,2015,1
Flying Cafe for Semianimals,"['Adventure', 'Indie']",Cradle,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Stats']",12.99,False,Flying Cafe for Semianimals,mixed,65.0,2015,1
EuroVideo Medien,"['Action', 'Adventure', 'Indie', 'RPG']",Victor Vran ARPG,"['Single-player', 'Multi-player', 'Co-op', 'Local Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']",19.99,False,Haemimont Games,mostly Positive,75.0,2015,1
SOEDESCO Publishing,"['Adventure', 'Indie']",ENKI,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Captions available']",4.99,False,Storm in a Teacup,mixed,43.0,2015,1
Silverlode Interactive,"['Free to Play', 'Indie', 'Massively Multiplayer', 'Strategy']",SAGA,"['Multi-player', 'MMO', 'Co-op']",Free,False,"Silverlode Interactive,Wasatch Games",mixed,61.0,2008,1
Idea Factory International,['RPG'],Fairy Fencer F,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']",29.99,False,"Idea Factory,Compile Heart",mixed,66.0,2015,0
ZackBellGames,"['Action', 'Adventure', 'Indie']",INK,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards']",4.99,False,ZackBellGames,mixed,68.0,2015,1
Dead Mage,"['Action', 'Indie']",Shadow Blade: Reload,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Steam Leaderboards', 'Includes level editor']",14.99,False,Dead Mage,mixed,70.0,2015,1
Devolver Digital,"['Action', 'Indie', 'Sports']",OlliOlli2: Wee to Olliwood,"['Single-player', 'Multi-player', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Leaderboards']",14.99,False,Roll7,positive,82.0,2015,1
Surprise Attack,"['Indie', 'Simulation']",Hac,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Captions available', 'Steam Workshop', 'Steam Cloud', 'Includes level editor']",9.99,False,Team Fractal Alligator,positive,82.0,2015,1
Erdem Sen,['Indie'],Bard's Gold,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Leaderboards']",4.99,False,Erdem Sen,mixed,58.0,2015,1
Square Enix,"['Action', 'RPG']",FINAL FANTASY TYPE-0™ HD,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']",29.99,False,Square Enix,mixed,69.0,2015,0
Ubisoft,"['Action', 'Adventure']",ZOMBI,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support']",19.99,False,Straight Right,mixed,65.0,2015,0
ONE MORE LEVEL,"['Action', 'Indie', 'RPG']",Warlocks vs Shadows,"['Single-player', 'Multi-player', 'Online Multi-Player', 'Local Multi-Player', 'Co-op', 'Online Co-op', 'Local Co-op', 'Shared/Split Screen', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support']",13.99,False,Frozen District,mixed,68.0,2015,1
Ice Water Games,"['Casual', 'Free to Play', 'Indie', 'Simulation']",Viridi,"['Single-player', 'Steam Cloud']",Free,False,Ice Water Games,mixed,46.0,2015,1
Cyber Rhino Studios,"['Action', 'Indie']",Gryphon Knight Epic,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Stats', 'Steam Leaderboards']",6.99,False,Cyber Rhino Studios,mixed,55.0,2015,1
XMPT Games,"['Action', 'Indie']",DiscStorm,"['Single-player', 'Local Multi-Player', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Stats']",11.99,False,XMPT Games,mixed,58.0,2015,1
Akella,['RPG'],Hard to Be a God,['Single-player'],7.99,False,Burut CT,mixed,55.0,2007,0
Cococucumber,"['Action', 'Adventure', 'Indie']",Pl of the Eyes,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards']",9.99,False,Cococucumber,mixed,66.0,2015,1
Phosphor Games,"['Adventure', 'Indie']",Corpse of Discovery,"['Single-player', 'Full controller support', 'Captions available']",7.99,False,Phosphor Games,mixed,49.0,2015,1
Killmonday Games AB,"['Adventure', 'Indie']",Fran Bow,"['Single-player', 'Steam Achievements', 'Steam Trading Cards']",14.99,False,Killmonday Games AB,mixed,70.0,2015,1
Positech Games,"['Indie', 'Simulation', 'Strategy']",Big Pharma,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']",24.99,False,Twice Circled,mostly Positive,72.0,2015,1
Calvino Noir Limited,"['Adventure', 'Indie']",Calvino Noir,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Captions available', 'Steam Cloud']",6.99,False,Calvino Noir Limited,mixed,55.0,2015,1
Yanim Studio,"['Action', 'Adventure', 'Indie']",Red Goddess: Inner World,"['Single-player', 'Steam Achievements', 'Full controller support']",9.99,False,Yanim Studio,mixed,53.0,2015,1
"Warner Bros. Interactive Entertainment, Feral Interactive (Mac/Linux)","['Action', 'Adventure']",Mad Max,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']",19.99,False,"Avalanche Studios,Feral Interactive (Mac/Linux)",mostly Positive,73.0,2015,0
"KOEI TECMO GAMES CO., LTD.",['Strategy'],NOBUNAGA'S AMBITION: Sphere of Influence,"['Single-player', 'Steam Trading Cards', 'Steam Cloud']",59.99,False,"KOEI TECMO GAMES CO., LTD.",mixed,70.0,2015,0
Konami Digital Entertainment,"['Action', 'Adventure']",METAL GEAR SOLID V: THE PHANTOM PAIN,"['Single-player', 'Multi-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Captions available', 'Steam Cloud', 'Steam Leaderboards']",19.99,False,Konami Digital Entertainment,very positive,91.0,2015,0
Hi-Rez Studios,"['Action', 'Free to Play']",SMITE®,"['Multi-player', 'Steam Achievements', 'Steam Trading Cards']",Free to Play,False,Hi-Rez Studios,positive,83.0,2015,0
TURBOGUN,"['Action', 'Indie']",Master Spy,"['Single-player', 'Full controller support', 'Steam Trading Cards', 'Captions available']",9.99,False,TURBOGUN,mixed,68.0,2015,1
Slitherine Ltd.,"['RPG', 'Strategy']",Ravenmark: Scourge of Estellion,"['Single-player', 'Steam Achievements', 'Steam Trading Cards']",14.99,False,Witching Hour Studios,mostly Positive,75.0,2015,0
Devolver Digital,"['Adventure', 'Indie']",Dropsy,['Single-player'],9.99,False,"Tendershoot,A Jolly Corpse",mostly Positive,80.0,2015,1
tobyfox,"['Indie', 'RPG']",Undertale,"['Single-player', 'Steam Trading Cards']",9.99,False,tobyfox,very positive,92.0,2015,1
Flazm,"['Casual', 'Indie', 'Simulation', 'Strategy']",Train Valley,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']",9.99,False,"Alexey Davydov,Sergey Dvoynikov,Timofey Shargorodskiy",mixed,69.0,2015,1
Fancy Fish Games,"['Adventure', 'Indie']",I Can't Escape: Darkness,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards']",11.99,False,Fancy Fish Games,mixed,40.0,2015,1
"THE BROTHERHOOD, Daedalic Entertainment",['Adventure'],STASIS Deluxe Edition Upgrade,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards']",4.99,False,THE BROTHERHOOD,mostly Positive,79.0,2015,0
Frictional Games,"['Action', 'Adventure', 'Indie']",SOMA,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud']",29.99,False,Frictional Games,positive,84.0,2015,1
Thunder Lotus Games,"['Action', 'Adventure', 'Indie']",Jotun: Valhalla Edition,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']",14.99,False,Thunder Lotus Games,mostly Positive,79.0,2015,1
Versus Evil,"['Adventure', 'Indie']",Armikrog,['Single-player'],9.99,False,Pencil Test Studios,mixed,57.0,2015,1
Introversion Software,"['Indie', 'Simulation', 'Strategy']",Prison Architect,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Includes level editor']",29.99,False,Introversion Software,positive,83.0,2015,1
Oldblood,['Indie'],Masochisia,"['Single-player', 'Steam Trading Cards', 'Captions available']",7.99,False,Oldblood,mixed,68.0,2015,1
Devolver Digital,"['Action', 'Adventure', 'Indie']",Downwell,"['Single-player', 'Steam Achievements', 'Partial Controller Support', 'Steam Leaderboards']",2.99,False,Moppin,positive,81.0,2015,1
Untame,"['Action', 'Adventure', 'Indie']",Mushroom 11,"['Single-player', 'Steam Achievements', 'Steam Trading Cards']",14.99,False,Untame,mostly Positive,78.0,2015,1
Devolver Digital,"['Action', 'Adventure', 'Casual', 'Indie']",Broforce,"['Single-player', 'Multi-player', 'Co-op', 'Shared/Split Screen', 'Full controller support', 'Includes level editor']",14.99,False,Free Lives,positive,83.0,2015,1
Rodeo Games,"['Action', 'Adventure', 'RPG', 'Strategy']","Warhammer 40,000: Deathwatch - Enhanced Edition","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']",14.99,False,Rodeo Games,mostly Positive,74.0,2015,0
BANDAI NAMCO Entertainment,['RPG'],Tales of Zestiria,"['Single-player', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']",49.99,False,BANDAI NAMCO Studio Inc.,mostly Positive,77.0,2015,0
astragon Sales &amp; Services GmbH,"['Adventure', 'Simulation']",COAST GUARD,"['Single-player', 'Steam Achievements', 'Steam Trading Cards']",14.99,False,Reality Twist GmbH,mixed,47.0,2015,0
Raw Fury,"['Indie', 'Simulation', 'Strategy']",Kingdom: Classic,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']",4.99,False,"Noio,Licorice",mostly Positive,74.0,2015,1
Funcom,['Adventure'],The Park,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards']",12.99,False,Funcom,mixed,67.0,2015,0
Larian Studios,"['Adventure', 'Indie', 'RPG', 'Strategy']",Divinity: Original Sin - Enhanced Edition,"['Single-player', 'Multi-player', 'Co-op', 'Shared/Split Screen', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Captions available', 'Steam Cloud']",39.99,False,Larian Studios,very positive,94.0,2015,1
Bulbware,"['Adventure', 'Indie']",Bulb Boy,"['Single-player', 'Steam Achievements', 'Steam Trading Cards']",8.99,False,Bulbware,positive,84.0,2015,1
,"['Action', 'Adventure']",The Binding of Isaac: Afterbirth,"['Single-player', 'Multi-player', 'Co-op', 'Shared/Split Screen', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']",10.99,False,"Nicalis, Inc.,Edmund McMillen",positive,85.0,2015,0
Ubisoft,"['Simulation', 'Strategy']",Anno 2205™,"['Single-player', 'Steam Achievements', 'Steam Trading Cards']",39.99,False,Blue Byte,mostly Positive,72.0,2015,0
Activision,"['Action', 'Adventure']",Call of Duty®: Black Ops III,"['Single-player', 'Multi-player', 'Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Workshop', 'Valve Anti-Cheat enabled', 'Steam Leaderboards']",59.99,False,Treyarch,mostly Positive,73.0,2015,0
NeocoreGames,"['Action', 'Adventure', 'Indie', 'RPG']",The Incredible Adventures of Van Helsing: Final Cut,"['Single-player', 'Multi-player', 'Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Stats', 'Steam Leaderboards']",44.99,False,NeocoreGames,mostly Positive,79.0,2015,1
AGM PLAYISM,"['Action', 'Adventure', 'Indie']",Kero Blaster,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards']",9.99,False,Studio Pixel,positive,82.0,2015,1
Bitbox Ltd.,"['Action', 'Indie', 'RPG', 'Simulation']",Life is Feudal: Your Own,"['Multi-player', 'Co-op', 'Steam Achievements', 'Steam Trading Cards', 'Stats']",39.99,False,Bitbox Ltd.,mixed,63.0,2015,1
Focus Home Interactive,"['RPG', 'Strategy']",Mordheim: City of the Damned,"['Single-player', 'Multi-player', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud']",39.99,False,Rogue Factor,mostly Positive,74.0,2015,0
,"['Action', 'Indie']",Mayan Death Robots,"['Single-player', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']",6.99,False,Sileni Studios,mixed,69.0,2015,1
Kingdom Games,"['Action', 'Adventure', 'RPG']",FIVE: Guardians of David,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Stats']",9.99,False,Kingdom Games,mixed,66.0,2015,0
SoftPlanet,"['Racing', 'Simulation', 'Sports']",FIM Speedway Grand Prix 15,"['Single-player', 'Multi-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']",24.99,False,SoftPlanet,mixed,68.0,2015,0
Square Enix,"['Action', 'Adventure']",Just Cause™ 3,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards']",49.99,False,Avalanche Studios,mostly Positive,74.0,2015,0
Daedalic Entertainment,"['Indie', 'Simulation', 'Strategy']",Valhalla Hills,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud']",19.99,False,Funatics Software,mixed,69.0,2015,1
"Degica, Chara-Ani",['Action'],DARIUSBURST Chronicle Saviours,"['Single-player', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards']",49.99,False,Pyramid,mostly Positive,80.0,2015,0
Arc System Works,['Action'],GUILTY GEAR Xrd -SIGN-,"['Single-player', 'Multi-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards']",29.99,False,Arc System Works,positive,84.0,2015,0
Prologue Games,"['Adventure', 'Casual', 'Indie']",Knee Deep Demo,"['Single-player', 'Game demo', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']",,False,Prologue Games,mixed,66.0,2015,1
Devolver Digital,"['Adventure', 'Indie']",Hatoful Boyfriend: Holiday Star,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']",9.99,False,"Mediatonic,The Irregular Corporation",mixed,54.0,2015,1
tinyBuild,"['Indie', 'RPG', 'Strategy']",Punch Club,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Captions available', 'Steam Cloud']",9.99,False,Lazy Bear Games,mostly Positive,73.0,2016,1
OtakuMaker SARL,"['Action', 'Casual', 'Indie']",The Great Escape,"['Single-player', 'Steam Trading Cards', 'Partial Controller Support']",3.99,False,XiNFiNiTY Games,mixed,54.0,2016,1
Choice Provisions,"['Indie', 'RPG', 'Strategy']",Tharsis,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards']",14.99,False,Choice Provisions,mixed,61.0,2016,1
Numinous Games,"['Adventure', 'Indie']","That Dragon, Cancer","['Single-player', 'Full controller support']",9.99,False,Numinous Games,mostly Positive,78.0,2016,1
Night School Studio,"['Adventure', 'Indie']",Oxenfree,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Captions available', 'Steam Cloud']",19.99,False,Night School Studio,mostly Positive,80.0,2016,1
Capcom,"['Action', 'Adventure', 'RPG']",Dragon's Dogma: Dark Arisen,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards']",29.99,False,Capcom,positive,81.0,2016,0
"Big Fish Games, Inc.","['Adventure', 'Casual']",Drawn™: Dark Flight,"['Single-player', 'Steam Trading Cards']",9.99,False,Big Fish Studios,mostly Positive,75.0,2016,0
Gearbox Publishing,['Strategy'],Homeworld: Deserts of Kharak,"['Single-player', 'Multi-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Stats', 'Steam Leaderboards']",49.99,False,Blackbird Interactive,mostly Positive,79.0,2016,0
"Thekla, Inc.","['Adventure', 'Indie']",The Witness,"['Single-player', 'Steam Achievements', 'Captions available', 'Partial Controller Support', 'Steam Cloud']",39.99,False,"Thekla, Inc.",very positive,87.0,2016,1
Dream Reactor,"['Free to Play', 'Indie', 'Massively Multiplayer', 'Strategy']",Spellweaver,"['Single-player', 'Multi-player', 'MMO', 'Steam Achievements', 'Steam Trading Cards']",Free to Play,False,Dream Reactor,mixed,63.0,2016,1
,"['Action', 'RPG']",Dying Light: The Following,"['Single-player', 'Multi-player', 'Co-op', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud']",19.99,False,Techland,mostly Positive,79.0,2016,0
Screen 7,"['Adventure', 'Indie']",Downfall,"['Single-player', 'Steam Achievements', 'Steam Trading Cards']",10.99,False,Harvester Games,mostly Positive,75.0,2016,1
THQ Nordic,['Action'],Men of Valor,"['Single-player', 'Multi-player']",9.99,False,2015,mostly Positive,71.0,2004,0
Joe Richardson,"['Adventure', 'Indie']",The Preposterous Awesomeness of Everything,"['Single-player', 'Steam Achievements']",6.99,False,Joe Richardson,mixed,54.0,2016,1
Calvin Weibel,"['Adventure', 'Indie', 'Strategy']",Doors,"['Single-player', 'Steam Achievements', 'Steam Trading Cards']",4.99,False,Calvin Weibel,mixed,40.0,2016,1
Glass Knuckle Games,"['Action', 'Indie', 'RPG']",Defragmented,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']",14.99,False,Glass Knuckle Games,mixed,68.0,2016,1
Rimlight Studios,"['Action', 'Indie']",ZHEROS,"['Single-player', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']",9.99,False,Rimlight Studios,mixed,58.0,2016,1
Aspyr,"['Adventure', 'Indie']",Layers of Fear,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud']",19.99,False,Bloober Team SA,mostly Positive,72.0,2016,1
Capcom,['Action'],Street Fighter V,"['Single-player', 'Multi-player', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards']",39.99,False,Capcom,mostly Positive,74.0,2016,0
"ARTE France, Neko Entertainment","['Adventure', 'Indie']",Californium,"['Single-player', 'Steam Achievements']",9.99,False,"Darjeeling,Nova Production",mixed,64.0,2016,1
Richard Seabrook,['Action'],Prospekt,"['Single-player', 'Steam Trading Cards', 'Commentary available']",9.99,False,Richard Seabrook,mixed,43.0,2016,0
Subaltern Games,"['Indie', 'Simulation', 'Strategy']",No Pineapple Left Behind,"['Single-player', 'Steam Achievements']",9.99,False,Subaltern Games,mixed,59.0,2016,1
tinyBuild,"['Action', 'Indie', 'RPG']",Dungelot: Shattered Lands,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']",9.99,False,Red Winter Software,mostly Positive,78.0,2016,1
"Spike Chunsoft Co., Ltd.",['Adventure'],Danganronpa: Trigger Happy Havoc,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']",19.99,False,"Spike Chunsoft Co., Ltd.,Abstraction Games",positive,82.0,2016,0
"The Molasses Flood, Curve Digital","['Action', 'Adventure', 'Indie']",The Flame in the Flood,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']",14.99,False,The Molasses Flood,mostly Positive,73.0,2016,1
Square Enix,['Strategy'],Hitman GO: Definitive Edition,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']",7.99,False,Square Enix Montréal,mostly Positive,72.0,2016,0
Frozenbyte,"['Action', 'Adventure']",Shadwen,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Workshop', 'Includes level editor']",16.99,False,Frozenbyte,mixed,53.0,2016,0
"NIS America, Inc.",['RPG'],Disgaea PC / 魔界戦記ディスガイア PC,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']",14.99,False,"Nippon Ichi Software, Inc.",mostly Positive,74.0,2016,0
SUPERHOT Team,"['Action', 'Indie']",SUPERHOT,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards']",24.99,False,SUPERHOT Team,positive,82.0,2016,1
Baroque Decay,"['Adventure', 'Indie', 'RPG']",The Count Lucanor,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']",9.99,False,Baroque Decay,mostly Positive,78.0,2016,1
505 Games,"['Adventure', 'Indie']",The Guest,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']",9.99,False,Team Gotham,mixed,68.0,2016,1
AGM PLAYISM,"['Action', 'Indie']",Momodora: Reverie Under The Moonlight,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']",9.99,False,Bombservice,positive,82.0,2016,1
United Independent Entertainment GmbH,['Strategy'],Highland Warriors,['Single-player'],7.99,False,United Independent Entertainment GmbH,mixed,58.0,2003,0
"Maximum Games, KISS ltd","['Action', 'Adventure']",Alekhine's Gun,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support']",39.99,False,Maximum Games,mixed,40.0,2016,0
Ravenscourt,['Adventure'],Obscuritas,"['Single-player', 'Steam Achievements']",14.99,False,VIS Games,mixed,63.0,2016,0
